employee_id,first_name,last_name,email,phone_number,ssn,date_of_birth,address,department,salary,password
2824,Angel,Hill,donaldgarcia@example.net,+1-219-560-0133,734-84-8929,1987-11-26,"26542 Susan Junction Apt. 161, Melanieview, AS 06196",Engineering,958006.14,y+S7Rpde$49^
8428,Cynthia,Diaz,michael41@example.net,+1-228-732-7648x3503,411-35-1085,1973-09-17,"PSC 9537, Box 6724, APO AE 32826",HR,1006323.98,hRVEz_i8p++c
9669,John,Tran,frazierdanny@example.net,001-645-514-6270x48281,157-48-2647,1996-01-22,"USS George, FPO AA 03053",Operations,970308.99,55TZgmjR@5w0
9835,Karina,Vaughn,raymond57@example.net,213.331.5098x393,725-81-0965,1974-12-07,"1834 Lewis Curve, Sanchezfort, AS 53855",Finance,541843.24,JJ$f1yDvDp62
8579,John,Leblanc,jmorton@example.org,5808132677,061-22-6210,1959-07-02,"Unit 4746 Box 8723, DPO AA 29035",Engineering,2404407.08,%!$9uRXPor^p
1651,Christine,Barnes,sarah35@example.org,362-547-5107x991,519-34-2171,1983-02-07,"4278 Carr Valley, Lake Lisaport, TN 14078",Operations,1262449.05,#+43DdpP6t$Y
5291,Evan,Ramos,hhoffman@example.org,001-728-205-9826x204,367-27-4089,1966-05-07,"232 Nicole Burg Apt. 563, Erikville, MS 05576",Finance,2495754.13,3oq4aG8^*DPc
5279,Gregory,Estes,benjamin96@example.com,001-556-798-1693x4060,442-09-5410,2001-10-04,"484 Nguyen Square, Angelaborough, MT 87654",Operations,1762602.71,A2T9JUaMK3&s
5649,Zachary,Schultz,clarence34@example.org,820.503.7917,736-90-6292,1992-12-29,"016 Gregory Square, Williamsbury, PW 16407",Marketing,2231601.66,bzW2ZXfonS*h
5543,Katie,Boyd,joshuajones@example.com,845.458.1223,724-28-1053,1987-08-02,"0366 Melissa Track Suite 705, Karenchester, ND 98479",Engineering,1165120.03,+O8NGbtfo8ZR
